throttle,rps,adjust,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_z
0,0,0,-60.2,18.6,1030,0,0,0,0.8
0,0,0,-49.9,8.8,1012.7,0,0,0,0
0,0,0,-49.2,7.6,1024.4,0,0,0,0
0,0,0,-57.1,11.1,1031.3,0,0,0,0.7
0,0,0,-51.7,1.7,1006.8,0,0,0,0
0,0,0,-58.4,12.2,1028.8,0,0,0,0
0,0,0,-57.1,5.1,1027.1,0,0,0,0
0,0,0,-52.5,4.9,1005.6,0,0,0,0
0,0,0,-55.6,11.2,1033.4,0,0,0,0.1
0,0,0,-53.3,6.8,1014.9,0,0,0,0.8
0,0,0,-55.8,10.3,1023.7,0,0,0,0.1
0,0,0,-59.7,15.4,1025.4,0,0,0,0.8
0,0,0,-48.9,7.6,1001.1,0,0,0,0.9
0,0,0,-53.5,16.1,1031.5,0,0,0,0.3
0,0,0,-55.1,8.5,1019.5,0,0,0,0.9
0,0,0,-51.7,4.6,1008.1,0,0,0,0.8
0,0,0,-59.4,15.9,1033.4,0,0,0,0.8
0,0,0,-50.7,7.6,1014.6,0,0,0,0.8
0,0,0,-58.9,6.3,1018.6,0,0,0,0.1
0,0,0,-63.5,11.1,1034.7,0,0,0,0.8
0,0,0,-52.8,2.7,1004.9,0,0,0,0.7
0,0,0,-58.7,9.5,1028.3,0,0,0,0.8
0,0,0,-63.8,8.1,1025.6,0,0,0,0.6
0,0,0,-52.5,0,1007.1,0,0,0,0.1
0,0,0,-56.6,17.1,1034.4,0,0,0,0.8
0,0,0,-53,4.9,1012.7,0,0,0,0.2
0,0,0,-59.4,7.6,1015.4,0,0,0,0.2
0,0,0,-56.6,13.4,1033.7,0,0,0,0.5
0,0,0,-49.2,4.6,1005.4,0,0,0,0.2
0,0,0,-60.9,13.4,1029.3,0,0,0,0.9
0,0,0,-59.2,3.2,1019.8,0,0,0,0.9
0,0,0,-58.9,7.3,1020.1,0,0,0,0.8
0,0,0,-60.7,3.9,1018.3,0,0,0,0.7
0,0,0,-58.9,17.6,1032.5,0,0,0,0.8
0,0,0,-50.5,8.8,1008.5,0,0,0,0.2
0,0,0,-59.2,10,1021.7,0,0,0,0.9
12,0,12,-59.2,9.3,1024.7,0,0,0,0
12,0,12,-55.6,4.9,1017.8,0,0,0,0.1
12,0,12,-184.4,-35.1,1181.9,0,0,0,0.1
12,1.3,12,1032.5,86.2,588.4,0,0,0,0.5
12,1.3,12,655.5,-100.7,778.8,0,0,0,1.2
12,2.7,12,523.4,-136.8,744.6,0,0,0,2.7
12,2.7,12,364.3,4.9,963.4,0,0,0,3.4
12,4,12,447.1,416.7,1031.3,0,0,0,3.2
