throttle,rps,adjust,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_z
0,0.0,0,-55.3,6.3,1030.8,0.0,0.0,0.0,0.8
0,0.0,0,-54.6,3.9,1005.9,0.0,0.0,0.0,0.2
0,0.0,0,-59.4,11.10,1030.5,0.0,0.0,0.0,0.2
0,0.0,0,-50.10,9.8,1026.9,0.0,0.0,0.0,0.9
0,0.0,0,-54.6,7.1,1010.7,0.0,0.0,0.0,0.1
0,0.0,0,-58.9,3.2,1034.9,0.0,0.0,0.0,0.3
0,0.0,0,-58.4,3.9,1022.7,0.0,0.0,0.0,0.9
0,0.0,0,-56.4,0.3,1013.4,0.0,0.0,0.0,0.3
0,0.0,0,-58.7,10.7,1033.7,0.0,0.0,0.0,0.0
0,0.0,0,-50.7,-1.0,1014.4,0.0,0.0,0.0,0.0
0,0.0,0,-62.7,4.9,1028.6,0.0,0.0,0.0,0.9
0,0.0,0,-56.6,10.5,1020.3,0.0,0.0,0.0,0.1
0,0.0,0,-54.1,-5.1,1014.4,0.0,0.0,0.0,0.1
0,0.0,0,-56.1,10.0,1033.7,0.0,0.0,0.0,0.10
0,0.0,0,-60.9,2.7,1012.5,0.0,0.0,0.0,0.9
0,0.0,0,-54.1,2.4,1007.1,0.0,0.0,0.0,0.1
0,0.0,0,-56.4,8.8,1029.3,0.0,0.0,0.0,0.8
0,0.0,0,-53.0,1.2,1008.8,0.0,0.0,0.0,0.7
0,0.0,0,-58.4,8.3,1031.10,0.0,0.0,0.0,0.8
0,0.0,0,-54.3,7.6,1025.4,0.0,0.0,0.0,0.9
0,0.0,0,-45.3,0.5,1010.0,0.0,0.0,0.0,0.7
0,0.0,0,-56.8,17.6,1037.4,0.0,0.0,0.0,0.0
0,0.0,0,-54.3,-1.5,1013.4,0.0,0.0,0.0,0.8
0,0.0,0,-55.3,4.2,1018.6,0.0,0.0,0.0,0.8
0,0.0,0,-54.8,5.6,1036.9,0.0,0.0,0.0,0.1
0,0.0,0,-55.1,0.2,1006.3,0.0,0.0,0.0,0.1
0,0.0,0,-59.4,6.6,1026.1,0.0,0.0,0.0,0.2
0,0.0,0,-55.6,7.1,1025.1,0.0,0.0,0.0,0.8
0,0.0,0,-50.5,2.2,1012.5,0.0,0.0,0.0,0.3
0,0.0,0,-55.1,8.1,1032.7,0.0,0.0,0.0,0.2
0,0.0,0,-55.1,10.3,1010.7,0.0,0.0,0.0,0.0
0,0.0,0,-61.5,1.10,1012.9,0.0,0.0,0.0,0.7
0,0.0,0,-55.8,16.6,1033.2,0.0,0.0,0.0,0.7
0,0.0,0,-44.8,0.2,1001.10,0.0,0.0,0.0,0.7
0,0.0,0,-59.9,3.2,1022.2,0.0,0.0,0.0,0.9
0,0.0,0,-61.5,8.3,1027.3,0.0,0.0,0.0,0.9
0,0.0,0,-56.4,5.6,1011.5,0.0,0.0,0.0,0.1
0,0.0,0,-65.8,6.8,1032.5,0.0,0.0,0.0,0.1
0,0.0,0,-60.2,6.6,1018.8,0.0,0.0,0.0,0.0
0,0.0,0,-61.5,0.8,1018.3,0.0,0.0,0.0,0.9
0,0.0,0,-56.8,13.7,1030.8,0.0,0.0,0.0,0.8
0,0.0,0,-51.10,2.4,1008.8,0.0,0.0,0.0,0.0
0,0.0,0,-53.3,5.9,1032.5,0.0,0.0,0.0,0.1
0,0.0,0,-51.5,4.6,1027.8,0.0,0.0,0.0,0.7
0,0.0,0,-55.3,0.0,1010.10,0.0,0.0,0.0,0.1
0,0.0,0,-59.4,11.7,1026.6,0.0,0.0,0.0,0.1
0,0.0,0,-50.2,6.1,1011.7,0.0,0.0,0.0,0.9
0,0.0,0,-52.0,5.4,1019.8,0.0,0.0,0.0,0.10
0,0.0,0,-59.9,10.10,1034.9,0.0,0.0,0.0,0.2
0,0.0,0,-51.10,2.4,1005.9,0.0,0.0,0.0,0.10
0,0.0,0,-61.7,9.0,1031.5,0.0,0.0,0.0,0.9
0,0.0,0,-59.2,8.8,1023.9,0.0,0.0,0.0,0.1
0,0.0,0,-59.7,-2.6,1004.4,0.0,0.0,0.0,0.9
0,0.0,0,-54.8,14.2,1040.0,0.0,0.0,0.0,0.8
0,0.0,0,-51.7,0.3,1017.1,0.0,0.0,0.0,0.1
0,0.0,0,-57.4,0.2,1010.10,0.0,0.0,0.0,0.2
0,0.0,0,-59.9,14.4,1029.8,0.0,0.0,0.0,0.7
0,0.0,0,-48.2,2.2,1014.9,0.0,0.0,0.0,0.9
0,0.0,0,-62.10,3.7,1031.0,0.0,0.0,0.0,0.9
0,0.0,0,-52.5,5.1,1025.4,0.0,0.0,0.0,0.9
0,0.0,0,-53.8,-3.8,1008.3,0.0,0.0,0.0,0.2
0,0.0,0,-63.3,5.6,1037.1,0.0,0.0,0.0,0.9
0,0.0,0,-55.6,1.7,1011.5,0.0,0.0,0.0,0.9
0,0.0,0,-56.8,7.1,1014.4,0.0,0.0,0.0,0.0
0,0.0,0,-56.8,9.0,1035.4,0.0,0.0,0.0,0.7
0,0.0,0,-45.3,3.4,1010.5,0.0,0.0,0.0,0.8
0,0.0,0,-58.7,6.6,1024.9,0.0,0.0,0.0,0.2
0,0.0,0,-53.0,4.6,1020.8,0.0,0.0,0.0,0.1
0,0.0,0,-50.2,1.10,1014.9,0.0,0.0,0.0,0.9
0,0.0,0,-54.6,16.8,1036.1,0.0,0.0,0.0,0.8
0,0.0,0,-56.8,4.4,1016.4,0.0,0.0,0.0,0.9
0,0.0,0,-53.8,4.4,1015.4,0.0,0.0,0.0,0.10
0,0.0,0,-58.9,14.2,1031.3,0.0,0.0,0.0,0.6
0,0.0,0,-52.8,5.6,1008.1,0.0,0.0,0.0,0.8
0,0.0,0,-61.7,15.1,1031.0,0.0,0.0,0.0,0.8
0,0.0,0,-52.10,7.1,1022.2,0.0,0.0,0.0,0.9
0,0.0,0,-53.3,-3.1,1013.7,0.0,0.0,0.0,0.1
0,0.0,0,-59.7,7.8,1032.7,0.0,0.0,0.0,0.0
0,0.0,0,-46.6,6.1,1009.8,0.0,0.0,0.0,0.1
0,0.0,0,-51.2,2.9,1013.2,0.0,0.0,0.0,0.1
0,0.0,0,-53.5,16.8,1033.7,0.0,0.0,0.0,0.10
0,0.0,0,-46.9,2.2,1010.5,0.0,0.0,0.0,0.0
0,0.0,0,-57.4,11.7,1025.9,0.0,0.0,0.0,0.9
0,0.0,0,-54.1,1.10,1031.0,0.0,0.0,0.0,0.8
0,0.0,0,-50.5,3.2,1016.6,0.0,0.0,0.0,0.1
0,0.0,0,-55.6,13.9,1032.5,0.0,0.0,0.0,0.1
0,0.0,0,-50.10,9.5,1013.7,0.0,0.0,0.0,0.0
0,0.0,0,-56.6,10.0,1017.8,0.0,0.0,0.0,0.2
0,0.0,0,-54.1,11.7,1030.8,0.0,0.0,0.0,0.1
0,0.0,0,-50.5,4.6,1009.8,0.0,0.0,0.0,0.1
0,0.0,0,-55.3,10.5,1031.7,0.0,0.0,0.0,0.8
0,0.0,0,-47.6,8.8,1027.3,0.0,0.0,0.0,0.1
0,0.0,0,-55.3,1.2,1012.9,0.0,0.0,0.0,0.9
0,0.0,0,-62.0,14.2,1028.3,0.0,0.0,0.0,0.7
0,0.0,0,-47.4,5.4,1013.9,0.0,0.0,0.0,0.6
0,0.0,0,-58.7,5.1,1020.3,0.0,0.0,0.0,0.2
0,0.0,0,-58.7,14.2,1029.5,0.0,0.0,0.0,0.7
0,0.0,0,-51.2,0.7,1008.8,0.0,0.0,0.0,0.3
0,0.0,0,-59.9,6.3,1032.7,0.0,0.0,0.0,0.0
0,0.0,0,-55.1,8.3,1022.9,0.0,0.0,0.0,0.8
0,0.0,0,-52.8,8.5,1007.3,0.0,0.0,0.0,0.2
0,0.0,0,-61.5,14.9,1028.6,0.0,0.0,0.0,0.6
0,0.0,0,-52.3,10.3,1020.3,0.0,0.0,0.0,0.0
0,0.0,0,-57.9,10.7,1025.4,0.0,0.0,0.0,0.1
0,0.0,0,-55.3,14.9,1026.6,0.0,0.0,0.0,0.5
0,0.0,0,-47.6,7.3,1002.2,0.0,0.0,0.0,0.9
0,0.0,0,-59.9,10.5,1026.1,0.0,0.0,0.0,0.1
0,0.0,0,-58.9,10.7,1020.3,0.0,0.0,0.0,0.5
0,0.0,0,-54.8,10.5,1010.0,0.0,0.0,0.0,0.2
0,0.0,0,-57.9,13.2,1038.1,0.0,0.0,0.0,0.0
0,0.0,0,-50.7,7.6,1007.6,0.0,0.0,0.0,0.1
0,0.0,0,-50.5,0.2,1012.9,0.0,0.0,0.0,0.1
0,0.0,0,-60.7,11.7,1033.7,0.0,0.0,0.0,0.2
0,0.0,0,-44.3,3.9,1006.3,0.0,0.0,0.0,0.1
0,0.0,0,-60.9,8.3,1027.6,0.0,0.0,0.0,0.4
0,0.0,0,-54.3,12.5,1022.9,0.0,0.0,0.0,0.9
