throttle,rps,adjust,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_z
0,0,0,-59.7,17.3,1032.2,0,0,0,0.9
0,0,0,-51.7,-3.8,1010,0,0,0,0.1
0,0,0,-53,10.3,1019.5,0,0,0,0.9
0,0,0,-54.8,11.7,1032.7,0,0,0,0.9
0,0,0,-52.3,-2.3,1008.5,0,0,0,0.1
0,0,0,-56.4,10.7,1024.4,0,0,0,0.9
0,0,0,-57.1,8.5,1024.4,0,0,0,0.8
0,0,0,-56.8,-1.8,1011.1,0,0,0,0
0,0,0,-62.3,9,1025.6,0,0,0,0.8
0,0,0,-56.4,6.8,1003.2,0,0,0,0.1
0,0,0,-60.2,10.1,1025.1,0,0,0,0.1
0,0,0,-63.3,4.6,1030.3,0,0,0,0.7
0,0,0,-49.7,3.7,1001.5,0,0,0,0
0,0,0,-57.9,15.4,1031,0,0,0,0.9
0,0,0,-60.2,4.6,1025.4,0,0,0,0.8
0,0,0,-57.6,-1,1011.1,0,0,0,0.8
0,0,0,-59.7,11.1,1031.3,0,0,0,0.9
0,0,0,-53,0.1,1008.5,0,0,0,0.1
0,0,0,-56.4,6.1,1021.7,0,0,0,0.1
0,0,0,-60.5,4.9,1028.6,0,0,0,0.9
0,0,0,-50.2,-1,999.8,0,0,0,0.9
0,0,0,-55.6,9,1030,0,0,0,0
0,0,0,-62.5,5.1,1023.7,0,0,0,0
0,0,0,-48.7,-2.6,1010.1,0,0,0,0.1
0,0,0,-61.1,8.5,1032.2,0,0,0,0.9
0,0,0,-57.4,-1,1015.4,0,0,0,0.1
0,0,0,-54.6,3.7,1019.8,0,0,0,0
0,0,0,-60.2,9.8,1026.9,0,0,0,0.7
0,0,0,-50.2,0,1008.3,0,0,0,0.8
0,0,0,-60.9,11.1,1025.9,0,0,0,0.1
0,0,0,-49.2,0.1,1017.6,0,0,0,0.8
15,0,15,-50.5,-3.1,1010.7,0,0,0,0.1
15,0,15,-49.2,6.3,1038.3,0,0,0,0.8
15,1.3,15,-47.6,-289.2,1668.9,0,0,0,3.1
15,1.3,15,657.2,123.5,362.8,0,0,0,-1
15,2.7,15,464.4,82,667.2,0,0,0,0.9
15,4,15,415,37.4,950.4,0,0,0,-1.3
15,5.3,15,288.3,-71.2,1336.2,0,0,0,0.5
15,5.3,15,232.2,-6.2,1213.9,0,0,0,-1.7
15,8,15,487.5,-69.9,454.8,0,0,0,0.7
15,10.7,15,531.5,-375,1004.6,0,0,0,-1.5
15,12,15,368.4,-79.2,1038.3,0,0,0,-6.3
