throttle,rps,adjust,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_z
0,0,0,-46.4,1.2,1010.3,0,0,0,0.9
0,0,0,-61.2,1.1,1025.6,0,0,0,0.8
0,0,0,-51.5,7.6,1022.2,0,0,0,0.8
0,0,0,-46.1,4.6,1010,0,0,0,0.9
0,0,0,-52.3,11.7,1035.9,0,0,0,0.1
0,0,0,-57.9,4.9,1020,0,0,0,0
0,0,0,-53.3,5.1,1013.2,0,0,0,0.1
0,0,0,-59.4,16.8,1030.5,0,0,0,0.7
0,0,0,-50.1,2.2,1011.7,0,0,0,0.9
0,0,0,-59.4,6.1,1023.4,0,0,0,0.2
0,0,0,-58.4,10.3,1023.9,0,0,0,0.7
0,0,0,-54.1,3.2,1011.7,0,0,0,0.2
0,0,0,-55.3,4.2,1037.4,0,0,0,0.8
0,0,0,-46.9,9.8,1016.8,0,0,0,0.1
0,0,0,-56.6,3.4,1010,0,0,0,0.1
0,0,0,-58.7,13.4,1034.4,0,0,0,0.7
0,0,0,-53.8,0,1020.3,0,0,0,0.1
0,0,0,-55.1,6.1,1022.2,0,0,0,0.8
0,0,0,-54.1,9,1020,0,0,0,0.2
0,0,0,-48.2,6.1,1011.2,0,0,0,0.5
0,0,0,-60.7,16.6,1037.4,0,0,0,0.1
0,0,0,-50.5,2.2,1007.3,0,0,0,0.9
0,0,0,-55.8,10,1016.4,0,0,0,0
0,0,0,-56.6,2.7,1031.1,0,0,0,0.9
0,0,0,-54.8,4.4,1011.7,0,0,0,0.9
0,0,0,-59.7,6.1,1019.5,0,0,0,0.1
0,0,0,-53.8,11.1,1023.7,0,0,0,0.9
0,0,0,-55.6,4.6,1009.5,0,0,0,0.8
0,0,0,-58.9,11.5,1034.9,0,0,0,0.6
0,0,0,-52,4.4,1012.9,0,0,0,0.8
0,0,0,-56.4,3.7,1016.6,0,0,0,0.1
0,0,0,-63.5,4.4,1034.2,0,0,0,0.2
0,0,0,-44.1,-1,1014.4,0,0,0,0.1
0,0,0,-59.4,6.3,1026.1,0,0,0,0.1
0,0,0,-59.4,9.5,1029.8,0,0,0,0.1
0,0,0,-47.1,3.4,1010.3,0,0,0,0.2
0,0,0,-64.3,18.1,1024.2,0,0,0,0.2
