throttle,rps,adjust,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_z
,0,0,-63.5,-4.6,1017.1,0,0,0,0
0,0,0,-52.1,14.9,1012.9,0,0,0,0.1
0,0,0,-55.1,11.5,1028.1,0,0,0,0.5
0,0,0,-57.4,0,1016.8,0,0,0,0.1
0,0,0,-56.8,14.9,1014.9,0,0,0,0.8
0,0,0,-57.4,1.1,1023.4,0,0,0,0
0,0,0,-53.5,8.8,1023.4,0,0,0,0.2
0,0,0,-51.7,11.7,1016.4,0,0,0,0.9
0,0,0,-60.2,-5.9,1014.6,0,0,0,0.3
0,0,0,-51.2,12.2,1015.4,0,0,0,0.8
18,0,18,-62.3,6.6,1025.6,0,0,0,0.8
18,0,18,-151.4,-132.7,1242.4,0,0,0,0.9
18,0,18,-134.5,424.6,1999.9,0,0,0,1.8
18,0,18,82.8,158.9,1000.5,0,0,0,1.7
18,1.3,18,588.4,79.1,611.1,0,0,0,0.7
18,4,18,373.8,-341.9,1073.2,0,0,0,3.3
18,5.3,18,573.5,-450.6,1206.1,0,0,0,0.6
18,8,18,509.8,156.3,1202.6,0,0,0,0.8
18,9.3,18,627.2,-197.7,695.1,0,0,0,5.5
18,12,18,-112.7,-144.7,1013.4,0,0,0,0.6
18,16,18,-251,-432.4,840.1,0,0,0,2.9
18,17.3,18,476.1,-563.8,1579.8,0,0,0,0.2
18,18.7,18,347.2,581.3,1103.3,0,0,0,-1.8
18,17.3,18,1129.4,-836.8,883.8,0,0,0,4.4
18,18.7,18,560.5,275.1,1250.5,0,0,0,-4.8
18,20,18,510.7,-137.8,1642.3,0,0,0,1.7
18,21.3,18,-51.2,196.5,1052.1,0,0,0,1.5
18,20,18,666.7,-131.2,664.6,0,0,0,-2.3
18,18.7,18,276.4,-228.2,610.4,0,0,0,0.5
18,20,18,126.7,-88.1,1030.5,0,0,0,0.3
18,21.3,18,640.4,-200.8,1791.7,0,0,0,-2.6
18,21.3,18,611.3,233.4,1124.5,0,0,0,-5.2
18,21.3,18,427.2,-72.5,873.5,0,0,0,4.1
18,18.7,18,438.7,-276.9,951.4,0,0,0,-3.3
18,20,18,725.6,-291,1999.9,0,0,0,-5.6
18,21.3,18,669.4,138.9,949.2,0,0,0,-2.9
18,20,18,446.8,-350.9,846.7,0,0,0,-2.1
18,21.3,18,571.8,200.9,386.1,0,0,0,-6.6
18,20,18,515.6,-388.8,1870.6,0,0,0,-3.2
18,21.3,18,752.4,268.8,1103.5,0,0,0,-4.3
